Heure début                    Heure fin                      Prix (€/MWh)    Volume (MW)
-------------------------------------------------------------------------------------
2026-04-11T00:00:00+02:00      2026-04-11T00:15:00+02:00      92.0            19609.8
2026-04-11T00:15:00+02:00      2026-04-11T00:30:00+02:00      84.0            19666.6
2026-04-11T00:30:00+02:00      2026-04-11T00:45:00+02:00      29.08           20298.4
2026-04-11T00:45:00+02:00      2026-04-11T01:00:00+02:00      5.06            20128.4
2026-04-11T01:00:00+02:00      2026-04-11T01:15:00+02:00      37.93           21593.3
2026-04-11T01:15:00+02:00      2026-04-11T01:30:00+02:00      20.15           21551.4
2026-04-11T01:30:00+02:00      2026-04-11T01:45:00+02:00      25.33           21359.8
2026-04-11T01:45:00+02:00      2026-04-11T02:00:00+02:00      22.49           21165.9
2026-04-11T02:00:00+02:00      2026-04-11T02:15:00+02:00      22.62           20699.6
2026-04-11T02:15:00+02:00      2026-04-11T02:30:00+02:00      19.28           20464.3
2026-04-11T02:30:00+02:00      2026-04-11T02:45:00+02:00      25.39           20191.3
2026-04-11T02:45:00+02:00      2026-04-11T03:00:00+02:00      14.79           20027.5
2026-04-11T03:00:00+02:00      2026-04-11T03:15:00+02:00      18.17           20118.6
2026-04-11T03:15:00+02:00      2026-04-11T03:30:00+02:00      13.36           19941.6
2026-04-11T03:30:00+02:00      2026-04-11T03:45:00+02:00      18.03           20450.4
2026-04-11T03:45:00+02:00      2026-04-11T04:00:00+02:00      14.71           20890.3
2026-04-11T04:00:00+02:00      2026-04-11T04:15:00+02:00      20.75           20282.1
2026-04-11T04:15:00+02:00      2026-04-11T04:30:00+02:00      16.76           20216.9
2026-04-11T04:30:00+02:00      2026-04-11T04:45:00+02:00      15.81           20144.7
2026-04-11T04:45:00+02:00      2026-04-11T05:00:00+02:00      12.77           20127.3
2026-04-11T05:00:00+02:00      2026-04-11T05:15:00+02:00      16.42           19695.8
2026-04-11T05:15:00+02:00      2026-04-11T05:30:00+02:00      10.47           19670.5
2026-04-11T05:30:00+02:00      2026-04-11T05:45:00+02:00      13.05           19675.5
2026-04-11T05:45:00+02:00      2026-04-11T06:00:00+02:00      15.62           19707.5
2026-04-11T06:00:00+02:00      2026-04-11T06:15:00+02:00      19.76           19445.6
2026-04-11T06:15:00+02:00      2026-04-11T06:30:00+02:00      17.73           19225.0
2026-04-11T06:30:00+02:00      2026-04-11T06:45:00+02:00      21.0            19198.2
2026-04-11T06:45:00+02:00      2026-04-11T07:00:00+02:00      11.01           19327.4
